GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research
0.68,0.642857143,0.5,0.625,0.5,0.775641026,1
0.5,0.5,0.5,0.875,0.625,0.519230769,0
0.58,0.642857143,0.5,0.5,0.375,0.637820513,0
0.44,0.535714286,0.5,0.5,0.5,0.532051282,1
0.84,0.928571429,1,1,1,0.855769231,1
0.14,0.214285714,0.25,0.375,0.5,0.278846154,0
0.44,0.535714286,0.75,0.875,0.75,0.592948718,1
0.64,0.464285714,0.25,0.5,0.5,0.528846154,1
0.48,0.642857143,0.5,0.75,0.75,0.641025641,0
0.88,1,1,0.75,1,0.983974359,1
0.62,0.678571429,0.5,0.375,0.5,0.673076923,1
0.76,0.642857143,0.75,1,0.75,0.75,1
0.44,0.5,0.5,0.75,0.625,0.637820513,1
0.86,0.928571429,1,1,1,0.817307692,1
0.28,0.464285714,0,0.5,0.125,0.224358974,0
0.74,0.678571429,0.75,0.75,0.875,0.705128205,1
0.72,0.857142857,0.5,0.625,0.75,0.75,1
0.74,0.75,0.75,0.875,0.875,0.740384615,1
0.68,0.75,0.75,0.875,0.75,0.637820513,0
0.22,0.535714286,0.5,0.625,0.625,0.493589744,1
0.34,0.357142857,0.5,0.5,0.5,0.471153846,0
0.1,0.321428571,0.25,0.375,0.25,0.33974359,0
0.3,0.714285714,0.5,0.5,0.625,0.592948718,0
0,0.428571429,0.75,0.25,0.375,0.211538462,0
0.16,0,0,0.25,0.25,0.346153846,0
0.6,0.321428571,0.25,0.375,0.5,0.583333333,0
1,0.75,0.75,1,1,0.942307692,1
0.68,0.785714286,1,1,0.875,0.730769231,1
0.96,0.821428571,1,0.875,1,0.778846154,1
0.78,0.678571429,0.75,0.875,0.75,0.708333333,1
0.9,0.821428571,0.75,0.875,0.875,0.923076923,1
0.44,0.392857143,0.5,1,0.75,0.528846154,0
0.72,0.571428571,0.5,0.5,0.625,0.669871795,0
0.46,0.535714286,0.5,0.75,0.875,0.605769231,0
0.4,0.5,0.25,0.625,0.375,0.490384615,0
0.72,0.714285714,0.75,0.75,0.625,0.743589744,1
0.52,0.428571429,0.5,0.5,0.625,0.384615385,1
0.16,0.464285714,0.5,0.625,0.75,0.557692308,0
0.4,0.5,0.75,0.875,0.875,0.717948718,1
0.8,0.75,1,1,0.75,0.804487179,1
0.78,0.785714286,1,0.875,1,0.766025641,1
0.64,0.607142857,1,0.875,0.625,0.641025641,0
0.9,0.892857143,1,1,1,0.884615385,1
0.22,0.428571429,0.25,0.625,0.625,0.349358974,1
0.3,0.464285714,0.25,0.5,0.25,0.458333333,0
0.64,0.642857143,0.5,0.75,1,0.58974359,1
0.26,0.214285714,0,0.25,0.375,0.272435897,0
0.56,0.535714286,0.5,0.5,0.625,0.471153846,1
0.42,0.25,0,0.375,0.5,0.522435897,1
0.58,0.714285714,0.5,0.375,0.25,0.612179487,1
0.48,0.5,0.5,0.5,1,0.673076923,0
0.48,0.535714286,0.25,0.375,0.75,0.471153846,0
0.4,0.25,0.25,0.125,0.25,0.16025641,0
0.64,0.821428571,1,0.75,0.875,0.820512821,1
0.6,0.571428571,0.5,0.625,0.75,0.525641026,1
0.96,0.892857143,0.75,0.625,0.875,0.852564103,1
0.62,0.678571429,0.5,0.625,0.75,0.650641026,1
0.4,0.535714286,0.5,0.625,0.625,0.599358974,0
0.66,0.714285714,1,0.75,0.875,0.634615385,0
0.48,0.535714286,0.25,0.375,0.75,0.564102564,0
0.52,0.5,0.25,0.375,0.75,0.487179487,0
0.34,0.464285714,0.25,0.375,0.5,0.272435897,0
0.72,0.75,1,0.875,0.75,0.833333333,1
0.42,0.214285714,0,0,0.375,0.211538462,0
0.7,0.714285714,0.75,0.625,0.625,0.679487179,0
0.58,0.392857143,0.75,0.875,0.625,0.596153846,0
0.68,0.821428571,0.5,0.625,0.5,0.628205128,1
0.54,0.535714286,0.5,0.625,0.5,0.602564103,1
0.14,0.285714286,0,0.125,0.25,0.352564103,0
0.76,0.714285714,0.75,0.75,0.875,0.737179487,1
0.6,0.642857143,1,1,1,0.769230769,1
0.1,0.035714286,0,0.25,0.25,0.128205128,0
0.44,0.321428571,0.25,0.375,0.625,0.397435897,1
0.82,0.821428571,1,0.75,0.625,0.846153846,1
0.68,0.678571429,0.5,0.375,0.25,0.641025641,1
0.08,0.107142857,0,0.125,0.125,0.269230769,0
0.52,0.642857143,0.5,0.625,0.75,0.564102564,0
0.28,0.285714286,0.75,0.125,0.375,0.333333333,0
0.44,0.285714286,0.25,0.125,0.625,0.352564103,1
0.12,0.321428571,0,0.375,0.5,0.282051282,0
0.8,0.785714286,0.5,0.875,0.875,0.782051282,1
0.46,0.5,0.25,0.375,0.25,0.522435897,0
0.38,0.571428571,0.5,0.375,0.5,0.423076923,0
0.52,0.464285714,0.25,0.375,0.375,0.448717949,1
0.6,0.428571429,0.5,0.5,0.625,0.621794872,1
0.5,0.25,0.25,0.625,0.5,0.349358974,0
0.62,0.785714286,0.75,0.75,1,0.743589744,0
0.42,0.464285714,0.25,0.5,0.25,0.423076923,1
0.48,0.392857143,0.25,0.25,0.5,0.451923077,0
0.38,0.25,0.5,0.75,0.75,0.564102564,0
0.48,0.464285714,0.25,0.375,0.25,0.269230769,0
0.64,0.535714286,0.5,0.625,0.625,0.532051282,1
0.32,0.642857143,0.25,0.625,0.75,0.528846154,0
0.72,0.642857143,0.5,0.625,0.625,0.628205128,1
0.86,0.964285714,1,1,0.875,0.955128205,1
0.88,0.892857143,1,0.75,0.875,0.727564103,1
0.84,0.964285714,0.75,1,0.875,0.782051282,1
0.8,0.857142857,1,1,0.875,0.820512821,1
0.34,0.321428571,0.5,0.75,0.5,0.448717949,0
0.98,0.964285714,1,0.875,0.75,0.929487179,0
0.96,0.928571429,0.75,0.5,0.875,0.833333333,1
0.48,0.535714286,0.5,0.5,0.625,0.439102564,1
0.54,0.392857143,0.5,0.375,0.5,0.557692308,1
0.74,0.607142857,0.5,0.625,0.75,0.631410256,1
0.16,0.214285714,0.25,0.125,0.375,0.224358974,1
0.42,0.535714286,0.75,0.875,0.875,0.705128205,1
0.46,0.428571429,0.5,0.75,0.875,0.592948718,0
0.74,0.571428571,1,1,0.625,0.746794872,1
0.48,0.428571429,0.75,1,1,0.711538462,0
0.56,0.607142857,0.5,0.5,0.5,0.544871795,0
0.4,0.392857143,0.25,0.375,0.375,0.461538462,0
0.72,0.857142857,0.25,0.875,0.5,0.730769231,1
0.28,0.464285714,0.25,0.5,0.5,0.448717949,1
0.48,0.607142857,0.75,0.625,0.75,0.631410256,1
0.72,0.714285714,0.5,0.625,0.5,0.737179487,1
0.24,0.357142857,0,0.25,0.125,0.384615385,0
0.7,0.678571429,0.5,0.5,0.625,0.608974359,0
0.38,0.5,0.25,0.375,0.375,0.384615385,0
0.42,0.428571429,0.5,0.625,0.25,0.448717949,1
0.5,0.464285714,0.5,0.25,0.375,0.493589744,0
0.36,0.642857143,0.5,0.625,0.5,0.384615385,1
0.6,0.428571429,0.5,0.625,0.875,0.493589744,1
0.3,0.357142857,0.25,0.25,0.375,0.442307692,0
0.64,0.714285714,0.75,0.875,0.875,0.788461538,1
0.28,0.357142857,0.25,0.5,0.75,0.618589744,0
0.28,0.178571429,0.25,0.125,0.25,0.269230769,0
0.7,0.714285714,0.75,0.75,0.875,0.759615385,1
0.4,0.357142857,0.5,0.625,0.75,0.391025641,1
0.96,1,0.75,1,1,0.916666667,1
0.54,0.285714286,0.25,0.5,0.375,0.567307692,0
0.46,0.357142857,0.5,0.625,0.75,0.673076923,1
0.52,0.25,0.25,0.375,0.5,0.705128205,0
0.48,0.357142857,0.25,0.25,0.375,0.461538462,0
0.8,0.785714286,0.75,0.875,0.5,0.759615385,1
0.66,0.535714286,0.5,0.625,0.625,0.560897436,1
0.36,0.571428571,0.75,0.875,1,0.493589744,0
0.5,0.642857143,0.25,0.625,0.5,0.532051282,1
0.16,0.25,0,0.125,0.5,0.211538462,0
0.84,0.892857143,0.75,0.875,0.75,0.737179487,0
0.62,0.607142857,0.75,0.75,0.75,0.746794872,1
0.68,0.678571429,1,0.875,0.75,0.756410256,1
0.36,0.642857143,0.75,0.625,0.5,0.576923077,0
0.82,0.964285714,0.75,1,0.875,0.814102564,1
0.52,0.642857143,0.5,0.75,0.875,0.634615385,1
0.68,0.714285714,0.75,0.75,0.375,0.416666667,1
0.68,0.535714286,0.75,0.75,0.875,0.663461538,1
0.74,0.678571429,0.75,0.5,0.75,0.512820513,1
0.44,0.464285714,0.5,0.25,0.5,0.391025641,1
0.1,0.25,0.25,0.375,0.5,0.272435897,0
0.82,0.714285714,1,0.75,1,0.961538462,1
0.68,0.678571429,0.5,0.375,0.125,0.637820513,1
0.18,0.178571429,0.5,1,0.625,0.275641026,0
0.68,0.535714286,1,0.625,0.75,0.596153846,1
0.88,0.857142857,0.75,0.75,0.5,0.384615385,1
0.52,0.214285714,0,0.125,0.25,0.201923077,0
0.7,0.642857143,0.25,0.5,0.375,0.628205128,1
0.54,0.392857143,0.25,0.375,0.25,0.432692308,0
0.34,0.607142857,0.5,0.75,0.5,0.384615385,1
0.36,0.428571429,0.25,0.375,0.5,0.407051282,0
0.48,0.571428571,0.5,0.875,0.625,0.429487179,0
0.44,0.25,0,0,0.125,0.387820513,1
0.24,0.357142857,0.5,0.625,1,0.490384615,0
0.68,0.714285714,0.75,0.75,0.625,0.631410256,1
0.54,0.428571429,0.25,0.5,0.5,0.628205128,0
0.86,0.75,1,0.75,0.75,0.794871795,1
0.66,0.642857143,0.5,0.75,0.625,0.737179487,1
0.2,0.285714286,0.5,0.5,0.625,0.467948718,0
0.74,0.75,0.75,0.625,0.5,0.605769231,1
0.7,0.785714286,0.5,0.625,0.5,0.717948718,1
0.64,0.642857143,0.5,0.5,0.625,0.384615385,0
0.46,0.214285714,0.5,0.375,0.875,0.480769231,1
0.62,0.678571429,0.75,0.75,0.75,0.695512821,1
0.68,0.714285714,1,1,1,0.730769231,1
0.8,0.857142857,0.75,1,0.875,0.849358974,1
0.9,0.928571429,1,0.875,0.625,0.846153846,1
0.42,0.25,0.25,0.375,0.5,0.378205128,0
0.2,0.25,0,0.5,0.25,0,1
0.62,0.642857143,0.5,0.625,1,0.657051282,1
0.1,0.142857143,0.25,0.125,0.25,0.173076923,0
0.72,0.678571429,1,0.875,0.75,0.778846154,1
0.56,0.285714286,0.25,0.375,0.625,0.557692308,1
0.7,0.785714286,0.75,0.5,0.25,0.512820513,0
0.22,0.285714286,0.5,0.625,0.5,0.397435897,0
0.5,0.392857143,0,0.125,0.25,0.33974359,0
0.78,0.75,1,1,0.875,0.849358974,1
0.66,0.642857143,1,0.75,1,0.698717949,1
0.44,0.214285714,0,0.625,0.5,0.442307692,1
0.3,0.392857143,0.25,0.375,0.625,0.426282051,0
0.68,0.285714286,0.5,0.75,1,0.58974359,1
0.44,0.571428571,0.5,0.625,0.5,0.554487179,0
0.42,0.5,0.25,0.625,0.5,0.467948718,1
0.98,0.785714286,1,0.75,0.875,0.948717949,1
0.84,0.857142857,1,1,1,0.794871795,1
0.62,0.535714286,0.25,0.25,0.125,0.525641026,0
0.66,0.75,0.5,0.75,0.75,0.666666667,1
0.92,0.964285714,0.75,0.875,0.75,0.903846154,1
0.54,0.535714286,0.25,0.625,0.5,0.474358974,0
0.74,0.75,0.5,0.625,0.5,0.596153846,1
0.82,0.892857143,0.75,0.875,1,0.83974359,1
0.88,0.964285714,1,0.875,0.875,0.858974359,1
0.86,0.892857143,0.75,1,0.75,0.916666667,1
0.44,0.535714286,0.5,0.5,0.25,0.352564103,1
0.82,0.821428571,1,0.875,0.625,0.820512821,1
0.92,0.714285714,1,1,1,0.948717949,1
0.78,0.678571429,0.75,0.875,0.875,0.762820513,1
0.32,0.464285714,0.25,0.375,0.5,0.455128205,1
0.24,0.25,0,0.25,0.25,0.144230769,0
0.48,0.5,0.25,0.75,0.625,0.46474359,0
